# category	subcategory	protein:ID	color	position
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CDC53:GS115_000660-T1	rgb(128,71,114)	
Metabolism	Amino Acid Transport and Metabolism	LYS21:GS115_000661-T1	rgb(240,175,46)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VPS54:GS115_000662-T1	rgb(94,58,79)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	INH1:GS115_000663-T1	rgb(71,52,63)	
Information Storage and Processing	RNA Processing and Modification	PFS2:GS115_000664-T1	rgb(88,139,170)	
Information Storage and Processing	Replication, Recombination and Repair	INO80:GS115_000665-T1	rgb(53,105,134)	
Metabolism	Carbohydrate Transport and Metabolism	FBA1:GS115_000666-T1	rgb(231,137,25)	
Poorly Characterized	Function Unknown	YNL144C:GS115_000667-T1	rgb(22,55,64)	
Metabolism	Energy Production and Conversion	QCR7:GS115_000668-T1	rgb(252,170,48)	
Metabolism	Nucleotide Transport and Metabolism	APA2:GS115_000669-T1	rgb(248,197,69)	
Metabolism	Coenzyme Transport and Metabolism	CAB1:GS115_000670-T1	rgb(248,162,33)	
Poorly Characterized	Function Unknown	AOA66506.1:GS115_000671-T1	rgb(13,45,61)	
Poorly Characterized	Function Unknown	AOA65690.1:GS115_000672-T1	rgb(10,44,63)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PRD1:GS115_000673-T1	rgb(127,72,124)	
Poorly Characterized	Function Unknown	AOA65804.1:GS115_000674-T1	rgb(16,54,62)	
Poorly Characterized	Function Unknown	AOA66169.1:GS115_000675-T1	rgb(13,54,59)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	MRC1:GS115_000676-T1	rgb(124,74,103)	
Poorly Characterized	Function Unknown	MIC10:GS115_000677-T1	rgb(19,43,67)	
Poorly Characterized	Function Unknown	AOA66016.1:GS115_000678-T1	rgb(14,52,69)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	KRR1:GS115_000679-T1	rgb(155,166,174)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PRM1:GS115_000680-T1	rgb(97,63,73)	
Poorly Characterized	Function Unknown	AOA66168.1:GS115_000681-T1	rgb(19,43,60)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	EMG1:GS115_000682-T1	rgb(147,168,176)	
Information Storage and Processing	Replication, Recombination and Repair	LCD1:GS115_000683-T1	rgb(47,100,138)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL37A:GS115_000684-T1	rgb(158,170,175)	
Poorly Characterized	Function Unknown	PLM2:GS115_000685-T1	rgb(21,54,58)	
Poorly Characterized	Function Unknown	YLR177W:GS115_000686-T1	rgb(15,53,59)	
Metabolism	Lipid Transport and Metabolism	DPP1:GS115_000687-T1	rgb(113,42,4)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	GIN4:GS115_000688-T1	rgb(118,74,103)	
Metabolism	Amino Acid Transport and Metabolism	LYP1:GS115_000689-T1	rgb(242,186,49)	
Poorly Characterized	Function Unknown	SCV11832.1:GS115_000690-T1	rgb(23,49,69)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL5:GS115_000691-T1	rgb(154,167,183)	
Poorly Characterized	Function Unknown	GIP3:GS115_000692-T1	rgb(17,48,68)	
Poorly Characterized	Function Unknown	AOA65374.1:GS115_000693-T1	rgb(21,44,65)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	STE50:GS115_000696-T1	rgb(192,129,153)	
Information Storage and Processing	RNA Processing and Modification	RRP7:GS115_000697-T1	rgb(85,143,171)	
Poorly Characterized	Function Unknown	SDH7:GS115_000698-T1	rgb(14,54,66)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SLF1:GS115_000699-T1	rgb(131,75,128)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	AOA65693.1:GS115_000700-T1	rgb(103,66,78)	
Metabolism	Inorganic Ion Transport and Metabolism	ATG22:GS115_000701-T1	rgb(143,56,4)	
Metabolism	Carbohydrate Transport and Metabolism	DAL5:GS115_000702-T1	rgb(238,135,25)	
Poorly Characterized	Function Unknown	AOA66592.1:GS115_000703-T1	rgb(21,54,57)	
Metabolism	Amino Acid Transport and Metabolism	AOA66341.1:GS115_000704-T1	rgb(243,182,44)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	ADH6:GS115_000705-T1	rgb(192,86,1)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	LAG1:GS115_000706-T1	rgb(102,58,81)	
Poorly Characterized	Function Unknown	AOA66541.1:GS115_000707-T1	rgb(10,54,67)	
Poorly Characterized	Function Unknown	YGR111W:GS115_000708-T1	rgb(16,53,62)	
Metabolism	Energy Production and Conversion	YPR1:GS115_000709-T1	rgb(254,172,46)	
Information Storage and Processing	Transcription	YPR022C:GS115_000710-T1	rgb(117,173,195)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UFD4:GS115_000711-T1	rgb(125,75,127)	
Information Storage and Processing	RNA Processing and Modification	MRT4:GS115_000712-T1	rgb(87,141,163)	
Poorly Characterized	Function Unknown	AOA66704.1:GS115_000713-T1	rgb(12,50,66)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	SPS1:GS115_000714-T1	rgb(187,137,153)	
Information Storage and Processing	Replication, Recombination and Repair	RNH1:GS115_000717-T1	rgb(50,105,133)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UFD1:GS115_000718-T1	rgb(129,82,124)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UFD1:GS115_000718-T2	rgb(125,71,120)	
Information Storage and Processing	Transcription	TFC4:GS115_000719-T1	rgb(116,167,186)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	IST1:GS115_000720-T1	rgb(65,53,71)	
Poorly Characterized	Function Unknown	AOA65685.1:GS115_000721-T1	rgb(21,44,66)	
Information Storage and Processing	Transcription	RTG1:GS115_000722-T1	rgb(114,171,187)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SFT2:GS115_000723-T1	rgb(96,68,77)	
Information Storage and Processing	Chromatin Structure and Dynamics	NAT1:GS115_000724-T1	rgb(60,91,112)	
Information Storage and Processing	Chromatin Structure and Dynamics	SIR2:GS115_000725-T1	rgb(56,81,113)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRP10:GS115_000726-T1	rgb(146,172,185)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MTF2:GS115_000727-T1	rgb(151,168,182)	
Information Storage and Processing	Replication, Recombination and Repair	CDC45:GS115_000728-T1	rgb(46,94,135)	
Poorly Characterized	Function Unknown	AOA66380.1:GS115_000729-T1	rgb(21,43,62)	
Information Storage and Processing	Replication, Recombination and Repair	REX3:GS115_000730-T1	rgb(46,102,131)	
Poorly Characterized	Function Unknown	ATO2:GS115_000731-T1	rgb(16,55,64)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	MKC7:GS115_000732-T1	rgb(134,73,121)	
Information Storage and Processing	Transcription	HAC1:GS115_000733-T1	rgb(113,166,195)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL9B:GS115_000734-T1	rgb(146,173,184)	
Information Storage and Processing	RNA Processing and Modification	SNU23:GS115_000735-T1	rgb(94,138,163)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	AIM36:GS115_000736-T1	rgb(173,113,161)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPS8:GS115_000737-T1	rgb(147,174,173)	
Poorly Characterized	Function Unknown	AOA66246.1:GS115_000738-T1	rgb(11,56,57)	
Poorly Characterized	Function Unknown	AOA66664.1:GS115_000739-T1	rgb(10,53,64)	
Metabolism	Amino Acid Transport and Metabolism	ARG4:GS115_000740-T1	rgb(243,175,49)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	DED81:GS115_000741-T1	rgb(151,179,174)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	YHR020W:GS115_000742-T1	rgb(148,169,180)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	SLM5:GS115_000743-T1	rgb(155,171,178)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	CHS1:GS115_000744-T1	rgb(165,112,169)	
Metabolism	Coenzyme Transport and Metabolism	YEL020C:GS115_000745-T1	rgb(255,165,26)	
Poorly Characterized	Function Unknown	NPP1:GS115_000746-T1	rgb(20,43,69)	
Poorly Characterized	Function Unknown	AOA66057.1:GS115_000747-T1	rgb(16,56,57)	
Metabolism	Amino Acid Transport and Metabolism	HIS2:GS115_000748-T1	rgb(240,182,37)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	PDR5:GS115_000749-T1	rgb(190,94,1)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	AOA66010.1:GS115_000750-T1	rgb(128,82,128)	
Poorly Characterized	Function Unknown	MPS3:GS115_000751-T1	rgb(11,45,61)	
Metabolism	Energy Production and Conversion	YMC1:GS115_000752-T1	rgb(250,166,45)	
Poorly Characterized	Function Unknown	YJR012C:GS115_000753-T1	rgb(14,52,68)	
Poorly Characterized	Function Unknown	AOA66690.1:GS115_000754-T1	rgb(12,47,67)	
Poorly Characterized	Function Unknown	AOA66257.1:GS115_000755-T1	rgb(16,48,65)	
Cellular Processes and Signaling	Extracellular Structures	YHR140W:GS115_000756-T1	rgb(200,135,153)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	GIM3:GS115_000757-T1	rgb(125,82,123)	
Poorly Characterized	Function Unknown	AOA66823.1:GS115_000758-T1	rgb(14,51,69)	
Poorly Characterized	Function Unknown	XP_002490064.1:GS115_000759-T1	rgb(17,48,65)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RGI2:GS115_000760-T1	rgb(181,137,158)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	FMO1:GS115_000761-T1	rgb(192,90,7)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	KAP123:GS115_000762-T1	rgb(100,61,84)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VMA21:GS115_000763-T1	rgb(102,58,72)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VMA21:GS115_000763-T2	rgb(101,69,75)	
Metabolism	Lipid Transport and Metabolism	ERG24:GS115_000764-T1	rgb(125,41,6)	
Poorly Characterized	Function Unknown	VOA1:GS115_000765-T1	rgb(22,51,66)	
Poorly Characterized	Function Unknown	AOA66106.1:GS115_000766-T1	rgb(11,51,63)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	LOC1:GS115_000767-T1	rgb(65,52,69)	
Poorly Characterized	Function Unknown	YDR476C:GS115_000768-T1	rgb(17,47,62)	
Information Storage and Processing	RNA Processing and Modification	ECM2:GS115_000769-T1	rgb(94,137,165)	
Poorly Characterized	Function Unknown	AOA65400.1:GS115_000770-T1	rgb(17,44,69)	
Poorly Characterized	Function Unknown	ATO2:GS115_000771-T1	rgb(14,49,60)	
Poorly Characterized	Function Unknown	ATO2:GS115_000772-T1	rgb(12,51,63)	
Metabolism	Lipid Transport and Metabolism	EHT1:GS115_000773-T1	rgb(123,42,0)	
Metabolism	Lipid Transport and Metabolism	CHO1:GS115_000774-T1	rgb(118,49,9)	
Metabolism	Energy Production and Conversion	SHY1:GS115_000775-T1	rgb(248,175,49)	
Poorly Characterized	Function Unknown	AOA66465.1:GS115_000777-T1	rgb(13,46,68)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VPH2:GS115_000778-T1	rgb(100,60,75)	
Metabolism	Lipid Transport and Metabolism	SRT1:GS115_000779-T1	rgb(114,42,7)	
Metabolism	Energy Production and Conversion	AOA66378.1:GS115_000780-T1	rgb(255,172,50)	
Poorly Characterized	Function Unknown	MRPL13:GS115_000781-T1	rgb(22,47,69)	
Metabolism	Carbohydrate Transport and Metabolism	YOR283W:GS115_000782-T1	rgb(241,133,25)	
Metabolism	Carbohydrate Transport and Metabolism	YOR283W:GS115_000782-T2	rgb(233,136,25)	
Metabolism	Inorganic Ion Transport and Metabolism	ENA1:GS115_000783-T1	rgb(132,53,12)	
Metabolism	Nucleotide Transport and Metabolism	ADE4:GS115_000784-T1	rgb(245,198,57)	
Poorly Characterized	Function Unknown	AOA66881.1:GS115_000785-T1	rgb(13,49,65)	
Metabolism	Amino Acid Transport and Metabolism	ILV5:GS115_000786-T1	rgb(241,186,44)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PRX1:GS115_000787-T1	rgb(132,77,133)	
Information Storage and Processing	Transcription	RME1:GS115_000788-T1	rgb(108,167,195)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UBP13:GS115_000790-T1	rgb(133,72,132)	
Metabolism	Nucleotide Transport and Metabolism	PRS4:GS115_000791-T1	rgb(250,203,69)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UBC6:GS115_000792-T1	rgb(126,84,123)	
Poorly Characterized	Function Unknown	KTI11:GS115_000793-T1	rgb(20,54,57)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPS8B:GS115_000794-T1	rgb(153,169,172)	
Poorly Characterized	Function Unknown	AOA65748.1:GS115_000795-T1	rgb(19,44,67)	
Poorly Characterized	Function Unknown	AOA66439.1:GS115_000796-T1	rgb(13,54,62)	
Information Storage and Processing	Transcription	NHP10:GS115_000797-T1	rgb(117,172,193)	
Cellular Processes and Signaling	Defense Mechanisms	UTP20:GS115_000798-T1	rgb(109,63,123)	
Poorly Characterized	Function Unknown	RMD1:GS115_000799-T1	rgb(15,51,63)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	ECM15:GS115_000800-T1	rgb(165,117,167)	
Metabolism	Carbohydrate Transport and Metabolism	MAK11:GS115_000802-T1	rgb(240,126,22)	
Metabolism	Amino Acid Transport and Metabolism	LYS1:GS115_000803-T1	rgb(239,183,39)	
Metabolism	Coenzyme Transport and Metabolism	PDX3:GS115_000804-T1	rgb(254,160,33)	
Poorly Characterized	Function Unknown	PST2:GS115_000805-T1	rgb(21,44,57)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	DCC1:GS115_000806-T1	rgb(117,61,103)	
Poorly Characterized	Function Unknown	BUD3:GS115_000807-T1	rgb(12,53,68)	
Poorly Characterized	Function Unknown	GS115_000808-T1:GS115_000808-T1	rgb(21,50,63)	
Information Storage and Processing	RNA Processing and Modification	GBP2:GS115_000809-T1	rgb(87,148,167)	
Poorly Characterized	Function Unknown	SGF29:GS115_000810-T1	rgb(19,52,56)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRP7:GS115_000811-T1	rgb(148,168,172)	
Metabolism	Coenzyme Transport and Metabolism	AOA66705.1:GS115_000812-T1	rgb(249,162,29)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	MSS4:GS115_000813-T1	rgb(183,133,161)	
Poorly Characterized	Function Unknown	AIM29:GS115_000814-T1	rgb(10,45,57)	
Metabolism	Lipid Transport and Metabolism	MVD1:GS115_000815-T1	rgb(123,40,5)	
Poorly Characterized	Function Unknown	CSM1:GS115_000816-T1	rgb(11,50,65)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	YCR087C-A:GS115_000817-T1	rgb(126,63,107)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	COX16:GS115_000818-T1	rgb(95,59,80)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	FMO1:GS115_000819-T1	rgb(181,96,2)	
Information Storage and Processing	RNA Processing and Modification	DHH1:GS115_000820-T1	rgb(84,149,166)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	STE7:GS115_000821-T1	rgb(190,127,157)	
Metabolism	Coenzyme Transport and Metabolism	FOL3:GS115_000822-T1	rgb(245,160,27)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	APL2:GS115_000823-T1	rgb(107,69,80)	
Poorly Characterized	Function Unknown	CMR1:GS115_000824-T1	rgb(23,55,65)	
Poorly Characterized	Function Unknown	YDL157C:GS115_000825-T1	rgb(21,48,62)	
Poorly Characterized	Function Unknown	AOA66107.1:GS115_000826-T1	rgb(10,52,68)	
Poorly Characterized	Function Unknown	AOA66137.1:GS115_000827-T1	rgb(21,54,67)	
Information Storage and Processing	Transcription	TAF1:GS115_000828-T1	rgb(107,175,192)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PRC1:GS115_000829-T1	rgb(133,71,131)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	CHS7:GS115_000830-T1	rgb(98,58,74)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RIA1:GS115_000831-T1	rgb(146,166,178)	
Poorly Characterized	Function Unknown	AOA65886.1:GS115_000832-T1	rgb(17,52,65)	
Metabolism	Lipid Transport and Metabolism	PPN1:GS115_000833-T1	rgb(118,46,2)	
Poorly Characterized	Function Unknown	COA6:GS115_000834-T1	rgb(16,47,66)	
Metabolism	Lipid Transport and Metabolism	PSD1:GS115_000835-T1	rgb(120,43,1)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	APC1:GS115_000836-T1	rgb(117,70,106)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	MOB2:GS115_000837-T1	rgb(120,68,114)	
Information Storage and Processing	Transcription	RPO41:GS115_000838-T1	rgb(113,170,192)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SNF7:GS115_000839-T1	rgb(100,62,77)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SED5:GS115_000840-T1	rgb(105,67,82)	
Metabolism	Inorganic Ion Transport and Metabolism	YFH1:GS115_000841-T1	rgb(136,64,0)	
Poorly Characterized	Function Unknown	AOA65411.1:GS115_000842-T1	rgb(14,45,58)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	COF1:GS115_000843-T1	rgb(71,54,68)	
Poorly Characterized	Function Unknown	AOA66503.1:GS115_000844-T1	rgb(13,45,61)	
Poorly Characterized	Function Unknown	AOA66562.1:GS115_000845-T1	rgb(16,52,59)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	SLM3:GS115_000846-T1	rgb(149,167,177)	
Metabolism	Inorganic Ion Transport and Metabolism	KHA1:GS115_000847-T1	rgb(131,56,0)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	NUM1:GS115_000848-T1	rgb(78,47,73)	
Information Storage and Processing	Replication, Recombination and Repair	MGM101:GS115_000849-T1	rgb(56,105,129)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PMT4:GS115_000850-T1	rgb(129,73,121)	
Metabolism	Nucleotide Transport and Metabolism	YJR142W:GS115_000851-T1	rgb(245,207,67)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	AOA66755.1:GS115_000852-T1	rgb(188,132,148)	
Poorly Characterized	Function Unknown	AOA66296.1:GS115_000853-T1	rgb(16,51,68)	
Metabolism	Carbohydrate Transport and Metabolism	MNN2:GS115_000854-T1	rgb(233,127,14)	
Information Storage and Processing	Transcription	AOA66810.1:GS115_000855-T1	rgb(120,178,189)	
Metabolism	Energy Production and Conversion	AOA66432.1:GS115_000856-T1	rgb(248,170,53)	
Metabolism	Inorganic Ion Transport and Metabolism	FTR1:GS115_000857-T1	rgb(143,59,5)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	FET5:GS115_000858-T1	rgb(183,98,14)	
Metabolism	Carbohydrate Transport and Metabolism	YMR099C:GS115_000859-T1	rgb(239,126,20)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SBA1:GS115_000860-T1	rgb(128,79,129)	
Poorly Characterized	Function Unknown	YLR224W:GS115_000861-T1	rgb(19,50,56)	
Information Storage and Processing	RNA Processing and Modification	HEK2:GS115_000862-T1	rgb(89,145,162)	
Poorly Characterized	Function Unknown	AOA66742.1:GS115_000863-T1	rgb(15,50,69)	
Metabolism	Carbohydrate Transport and Metabolism	PFK2:GS115_000864-T1	rgb(234,131,19)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RBD2:GS115_000866-T1	rgb(194,134,154)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RBD2:GS115_000866-T2	rgb(186,127,156)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RBD2:GS115_000866-T3	rgb(193,129,148)	
Metabolism	Amino Acid Transport and Metabolism	HOM6:GS115_000867-T1	rgb(243,178,48)	
Metabolism	Carbohydrate Transport and Metabolism	KTR4:GS115_000868-T1	rgb(228,127,14)	
Information Storage and Processing	RNA Processing and Modification	BRR2:GS115_000870-T1	rgb(89,143,170)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	OTU2:GS115_000871-T1	rgb(189,137,160)	
Poorly Characterized	Function Unknown	GS115_000872-T1:GS115_000872-T1	rgb(10,54,64)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	YLF2:GS115_000873-T1	rgb(157,172,172)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CLN3:GS115_000874-T1	rgb(126,66,102)	
Metabolism	Lipid Transport and Metabolism	AOA66025.1:GS115_000875-T1	rgb(126,42,2)	
Poorly Characterized	Function Unknown	GDS1:GS115_000876-T1	rgb(14,50,59)	
Metabolism	Energy Production and Conversion	CIR2:GS115_000877-T1	rgb(255,174,48)	
Information Storage and Processing	RNA Processing and Modification	NRD1:GS115_000878-T1	rgb(86,148,163)	
Poorly Characterized	Function Unknown	YMR114C:GS115_000879-T1	rgb(20,43,60)	
Poorly Characterized	Function Unknown	YKL133C:GS115_000880-T1	rgb(16,53,65)	
Poorly Characterized	Function Unknown	YKL133C:GS115_000881-T1	rgb(16,45,69)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	ASC1:GS115_000882-T1	rgb(185,133,150)	
Poorly Characterized	Function Unknown	MED11:GS115_000883-T1	rgb(17,45,63)	
Metabolism	Energy Production and Conversion	HFD1:GS115_000884-T1	rgb(246,171,45)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SRO7:GS115_000885-T1	rgb(100,68,72)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SAF1:GS115_000886-T1	rgb(130,81,129)	
Poorly Characterized	Function Unknown	MIX23:GS115_000887-T1	rgb(16,50,56)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	PKH3:GS115_000888-T1	rgb(181,131,152)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	XP_002490180.1:GS115_000889-T1	rgb(127,72,127)	
Metabolism	Inorganic Ion Transport and Metabolism	SOD2:GS115_000890-T1	rgb(139,62,11)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	AHA1:GS115_000891-T1	rgb(129,83,131)	
Poorly Characterized	Function Unknown	AOA65484.1:GS115_000892-T1	rgb(15,51,69)	
Metabolism	Lipid Transport and Metabolism	YAT1:GS115_000893-T1	rgb(123,41,2)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	AOA65632.1:GS115_000894-T1	rgb(166,116,167)	
Poorly Characterized	Function Unknown	AOA65530.1:GS115_000895-T1	rgb(14,55,59)	
Poorly Characterized	Function Unknown	FIG1:GS115_000896-T1	rgb(15,44,57)	
Metabolism	Carbohydrate Transport and Metabolism	QDR3:GS115_000897-T1	rgb(241,133,17)	
Metabolism	Lipid Transport and Metabolism	CST26:GS115_000898-T1	rgb(116,42,1)	
Metabolism	Lipid Transport and Metabolism	FAT1:GS115_000899-T1	rgb(119,41,6)	
Cellular Processes and Signaling	Defense Mechanisms	CDC14:GS115_000900-T1	rgb(109,73,129)	
Metabolism	Carbohydrate Transport and Metabolism	YBR056W:GS115_000901-T1	rgb(230,128,16)	
Metabolism	Amino Acid Transport and Metabolism	BNA2:GS115_000902-T1	rgb(249,178,46)	
Information Storage and Processing	Chromatin Structure and Dynamics	EAF6:GS115_000903-T1	rgb(64,80,108)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	ARP7:GS115_000904-T1	rgb(77,51,74)	
Poorly Characterized	Function Unknown	AOA65979.1:GS115_000907-T1	rgb(23,44,69)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	YGR210C:GS115_000908-T1	rgb(151,170,173)	
Poorly Characterized	Function Unknown	AOA65884.1:GS115_000909-T1	rgb(10,48,59)	
Poorly Characterized	Function Unknown	VID28:GS115_000910-T1	rgb(10,44,60)	
Metabolism	Carbohydrate Transport and Metabolism	TPO3:GS115_000911-T1	rgb(230,127,13)	
Poorly Characterized	Function Unknown	AOA66808.1:GS115_000912-T1	rgb(11,53,63)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MTR3:GS115_000913-T1	rgb(146,173,183)	
Metabolism	Lipid Transport and Metabolism	CHO2:GS115_000914-T1	rgb(125,42,7)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	GTR2:GS115_000915-T1	rgb(97,63,72)	
Poorly Characterized	Function Unknown	TYW3:GS115_000916-T1	rgb(15,47,64)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	DPS1:GS115_000917-T1	rgb(158,172,179)	
Metabolism	Inorganic Ion Transport and Metabolism	ALR1:GS115_000918-T1	rgb(142,53,9)	
Poorly Characterized	Function Unknown	AOA66445.1:GS115_000919-T1	rgb(16,49,58)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	KRI1:GS115_000920-T1	rgb(147,170,172)	
Poorly Characterized	Function Unknown	PTR3:GS115_000921-T1	rgb(17,52,64)	
Metabolism	Carbohydrate Transport and Metabolism	EDC3:GS115_000922-T1	rgb(232,127,14)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VAC8:GS115_000923-T1	rgb(105,61,72)	
Information Storage and Processing	Transcription	BAS1:GS115_000924-T1	rgb(117,174,190)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	DIA4:GS115_000925-T1	rgb(157,176,184)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	IMH1:GS115_000926-T1	rgb(107,59,78)	
Metabolism	Amino Acid Transport and Metabolism	RMT2:GS115_000927-T1	rgb(238,181,41)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	CDC25:GS115_000928-T1	rgb(182,132,152)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RRP6:GS115_000930-T1	rgb(155,170,175)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	NFU1:GS115_000931-T1	rgb(130,72,133)	
Information Storage and Processing	Transcription	YHL018W:GS115_000932-T1	rgb(110,166,185)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	APM1:GS115_000933-T1	rgb(94,60,71)	
Poorly Characterized	Function Unknown	SGT2:GS115_000934-T1	rgb(18,45,63)	
Poorly Characterized	Function Unknown	YML002W:GS115_000935-T1	rgb(22,47,59)	
Poorly Characterized	Function Unknown	TSR3:GS115_000936-T1	rgb(18,56,61)	
